rank_final,school_name,city,state,public_private,admissions_homepage_url,common_data_set_url,catalog_programs_url,deadlines_url,url_verification_status,rank_confidence
118,James Madison University,Harrisonburg,VA,Public,https://www.jmu.edu/admissions/,https://www.jmu.edu/pair/ir/common-data-set/index.shtml,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
119,Chapman University,Orange,CA,Private,https://www.chapman.edu/admission/,https://www.chapman.edu/campus-services/institutional-research/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
120,Gonzaga University,Spokane,WA,Private,https://www.gonzaga.edu/admission-aid,https://www.gonzaga.edu/-/media/Website/Documents/About/Offices-and-Services/Institutional-Research/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
121,Hofstra University,Hempstead,NY,Private,https://www.hofstra.edu/admission/,https://issuu.com/hofstra,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(CDS가 대학 자체 도메인이 아닌 Issuu 호스팅)","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
122,Howard University,Washington,DC,Private,https://admission.howard.edu/,https://ira.howard.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
123,Kansas State University,Manhattan,KS,Public,https://www.k-state.edu/admissions/,https://www.k-state.edu/data/institutional-research/resources/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
124,Mississippi State University,Starkville,MS,Public,https://www.admissions.msstate.edu/,https://www.oire.msstate.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS URL 미확정, scholarsjunction 저장소만 검색됨)","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
125,New Jersey Institute of Technology,Newark,NJ,Public,https://www.njit.edu/admissions/,https://www.njit.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(CDS 정확 URL 미확정)","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
126,Oklahoma State University,Stillwater,OK,Public,https://admissions.okstate.edu/,https://ira.okstate.edu/cds,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
127,Oregon State University,Corvallis,OR,Public,https://admissions.oregonstate.edu/,https://institutionalresearch.oregonstate.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
128,Rowan University,Glassboro,NJ,Public,https://admissions.rowan.edu/,https://sites.rowan.edu/academic-affairs/ida/institutional-research/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
129,St. John's University,Queens,NY,Private,https://www.stjohns.edu/admission,https://www.stjohns.edu/academics/schools/st-johns-college-liberal-arts-and-sciences/programs/student-admissions-outcomes-and-other-data,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 링크 미확정)","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
130,Stony Brook University (SUNY),Stony Brook,NY,Public,https://www.stonybrook.edu/admissions/,https://www.stonybrook.edu/commcms/irpe/fact_book/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
131,Texas Tech University,Lubbock,TX,Public,https://www.depts.ttu.edu/officialpublications/admissions/,https://www.depts.ttu.edu/irim/commondatasets/index.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
132,University of Central Florida,Orlando,FL,Public,https://admissions.ucf.edu/,https://analytics.ucf.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
133,University of Cincinnati,Cincinnati,OH,Public,https://admissions.uc.edu/,https://www.uc.edu/about/provost/colleges-and-offices/offices/institutional-research/facts-dashboards.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
134,University of Colorado Boulder,Boulder,CO,Public,https://www.colorado.edu/admissions/,https://data.colorado.edu/reports/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
135,University of Dayton,Dayton,OH,Private,https://www.udayton.edu/admission/,https://udayton.edu/provost/ods/common_data_set.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
136,University of Hawaii at Manoa,Honolulu,HI,Public,https://manoa.hawaii.edu/admissions/,https://manoa.hawaii.edu/miro/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
137,University of Missouri,Columbia,MO,Public,https://admissions.missouri.edu/,https://udair.missouri.edu/campus-data/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(CDS 정확 URL 미확정, campus-data 페이지만 확인)","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
138,University of Oklahoma,Norman,OK,Public,https://www.ou.edu/admissions,https://www.ou.edu/content/dam/irr/docs/Common%20Data%20Sets/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
139,University of South Carolina,Columbia,SC,Public,https://www.sc.edu/about/offices_and_divisions/undergraduate_admissions/,https://sc.edu/about/offices_and_divisions/institutional_research_assessment_and_analytics/institutional_effectiveness/common_data_set/index.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
140,University of Tulsa,Tulsa,OK,Private,https://utulsa.edu/admission/,https://utulsa.edu/about/why-tu/assessment-initiatives/student-achievement-data/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(CDS 전용 페이지 미확정)","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
141,Washington State University,Pullman,WA,Public,https://admission.wsu.edu/,https://strategy.wsu.edu/institutional-data/federal/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
142,Andrews University,Berrien Springs,MI,Private,https://www.andrews.edu/admissions/,https://www.andrews.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
143,Ball State University,Muncie,IN,Public,https://www.bsu.edu/admissions,https://www.bsu.edu/about/administrativeoffices/oirds,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
144,Bowling Green State University,Bowling Green,OH,Public,https://www.bgsu.edu/admissions.html,https://www.bgsu.edu/institutional-research.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(CDS 페이지 자체는 못 찾음, IR 부서만 확인)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
145,Catholic University of America,Washington,DC,Private,https://admissions.catholic.edu/,https://ir.catholic.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증(CDS 전용 하위페이지는 미확정)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
146,Clarkson University,Potsdam,NY,Private,https://www.clarkson.edu/admissions,https://www.clarkson.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
147,Duquesne University,Pittsburgh,PA,Private,https://www.duq.edu/admissions,https://www.duq.edu/about/departments-and-offices/finance-and-business/planning-budgeting-and-institutional-research/common-data-set.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
148,East Carolina University,Greenville,NC,Public,https://admissions.ecu.edu/,https://ipar.ecu.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
149,Florida Atlantic University,Boca Raton,FL,Public,https://www.fau.edu/admissions/,https://www.fau.edu/iea/data/cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
150,George Mason University,Fairfax,VA,Public,https://www2.gmu.edu/admissions-aid,https://oiep.gmu.edu/resources/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
151,Georgia State University,Atlanta,GA,Public,https://admissions.gsu.edu/,https://oie.gsu.edu/data-reporting-systems/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
152,Idaho State University,Pocatello,ID,Public,https://www.isu.edu/admissions/,https://www.isu.edu/institutionalresearch/Common%20Data%20Sets,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
153,Illinois State University,Normal,IL,Public,https://admissions.illinoisstate.edu/,https://prpa.illinoisstate.edu/data-center/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
154,Indiana University-Purdue University Indianapolis,Indianapolis,IN,Public,https://admissions.iu.edu/indianapolis/,https://www.purdue.edu/idata/products-services/common-data-set.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(2024년 IU Indianapolis로 분리 개편, CDS 소재 재확인 필요)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
155,Kent State University,Kent,OH,Public,https://www.kent.edu/admissions,https://www.kent.edu/ir/common-dataset-cds,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
156,Loyola University Chicago,Chicago,IL,Private,https://www.luc.edu/undergrad/,https://www.luc.edu/oira/institutionaldata/commondataset/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
157,Montclair State University,Montclair,NJ,Public,https://www.montclair.edu/admissions/,https://www.montclair.edu/provost/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
158,Morgan State University,Baltimore,MD,Public,https://www.morgan.edu/admissions,https://www.morgan.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
159,North Dakota State University,Fargo,ND,Public,https://www.ndsu.edu/admission/,https://www.ndsu.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
160,Northern Arizona University,Flagstaff,AZ,Public,https://nau.edu/admissions/,https://in.nau.edu/institutional-research/reports/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
161,Old Dominion University,Norfolk,VA,Public,https://www.odu.edu/admission,https://www.odu.edu/sites/default/files/2025/documents/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
162,Pace University,New York,NY,Private,https://www.pace.edu/admission,https://www.pace.edu/sites/default/files/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
163,Saint Joseph's University,Philadelphia,PA,Private,https://www.sju.edu/admission,https://www.sju.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
164,South Dakota State University,Brookings,SD,Public,https://www.sdstate.edu/admissions,https://www.sdstate.edu/office-institutional-research-assessment/institutional-data,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
165,Southern Illinois University Carbondale,Carbondale,IL,Public,https://admissions.siu.edu/,https://siu.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
166,SUNY College of Environmental Science and Forestry,Syracuse,NY,Public,https://www.esf.edu/admissions/,https://www.esf.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
167,Texas State University,San Marcos,TX,Public,https://www.txst.edu/admissions.html,https://www.ir.txstate.edu/reports-projects/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
168,Middle Tennessee State University,Murfreesboro,TN,Public,https://www.mtsu.edu/admissions/,https://www.mtsu.edu/iepr/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(CDS 전용 URL 미확정, IEPR 부서만 확인)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
169,University of Alabama in Huntsville,Huntsville,AL,Public,https://www.uah.edu/admissions,https://www.uah.edu/academic-affairs/offices/oirea/common-data-sets,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
170,University of Arkansas,Fayetteville,AR,Public,https://admissions.uark.edu/,https://osai.uark.edu/datasets/cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
171,University of Idaho,Moscow,ID,Public,https://www.uidaho.edu/admissions,https://www.uidaho.edu/provost/ir/institutional-data/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
172,University of Kentucky,Lexington,KY,Public,https://admission.uky.edu/,https://irads.uky.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
173,University of Louisiana at Lafayette,Lafayette,LA,Public,https://admissions.louisiana.edu/,https://getdata.louisiana.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
174,University of Louisville,Louisville,KY,Public,https://louisville.edu/admissions,https://louisville.edu/about/departments/academic-planning-accountability/university-data/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
175,University of Maine,Orono,ME,Public,https://admissions.umaine.edu/,https://umaine.edu/oira/reporting/admissions/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
176,University of Massachusetts Boston,Boston,MA,Public,https://www.umb.edu/admissions/,https://www.umb.edu/oirap/facts/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
177,University of Massachusetts Lowell,Lowell,MA,Public,https://www.uml.edu/admissions/,https://www.uml.edu/institutional-research/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
178,University of Memphis,Memphis,TN,Public,https://www.memphis.edu/admissions/,https://www.memphis.edu/oir/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(CDS 전용 URL 미확정)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
179,University of Mississippi,Oxford,MS,Public,https://admissions.olemiss.edu/,https://olemiss.edu/irep/institutional-research/common-data/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
180,University of Montana,Missoula,MT,Public,https://www.umt.edu/admissions/,https://www.umt.edu/institutional-research/data_reports/common_data_set.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
181,"University of Nevada, Las Vegas",Las Vegas,NV,Public,https://www.unlv.edu/admissions,https://www.unlv.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 확인 필요(공식 CDS 페이지 검색되지 않음)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
182,"University of Nevada, Reno",Reno,NV,Public,https://www.unr.edu/admissions,https://dataden.unr.edu/CommonDataSet,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
183,University of New Mexico,Albuquerque,NM,Public,https://admissions.unm.edu/,https://oia.unm.edu/facts-and-figures/common-data-set.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
184,University of New Orleans,New Orleans,LA,Public,https://www.uno.edu/admissions,https://www.uno.edu/oier/facts,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증(최신본은 2018-19까지만 확인됨)","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
185,University of North Dakota,Grand Forks,ND,Public,https://und.edu/admissions/,https://und.edu/analytics-and-planning/data-and-reports/common-data-set.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
186,University of North Texas,Denton,TX,Public,https://admissions.unt.edu/,https://institutionalresearch.unt.edu/common-data-set.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
187,University of Rhode Island,Kingston,RI,Public,https://admission.uri.edu/,https://web.uri.edu/ir/data/common/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
188,University of South Alabama,Mobile,AL,Public,https://www.southalabama.edu/admissions/,https://www.southalabama.edu/departments/institutionalresearch/commondataset.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
189,University of South Dakota,Vermillion,SD,Public,https://www.usd.edu/admissions,https://www.usd.edu/About/Departments-Offices-and-Resources/Institutional-Research-Planning-and-Assessment,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
190,University of South Florida,Tampa,FL,Public,https://www.usf.edu/admissions/,https://www.usf.edu/ods/data-tools/cds.aspx,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
191,University of Southern Mississippi,Hattiesburg,MS,Public,https://www.usm.edu/undergraduate-admissions/,https://www.usm.edu/institutional-research/quick-facts.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
192,University of Texas at Arlington,Arlington,TX,Public,https://www.uta.edu/admissions,https://www.uta.edu/administration/analytics/reports,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
193,University of Texas at Dallas,Richardson,TX,Public,https://www.utdallas.edu/admissions/,https://dox.utdallas.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
194,University of Texas at San Antonio,San Antonio,TX,Public,https://future.utsa.edu/,https://www.utsa.edu/ir/content/resources/commonDataSet.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
195,University of Toledo,Toledo,OH,Public,https://www.utoledo.edu/admission/,https://www.utoledo.edu/offices/institutional-research/report-library/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
196,University of Wisconsin-Milwaukee,Milwaukee,WI,Public,https://uwm.edu/admission/,https://uwm.edu/institutional-research/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
197,University of Wyoming,Laramie,WY,Public,https://www.uwyo.edu/admissions/,https://www.uwyo.edu/oia/cds.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
198,Utah State University,Logan,UT,Public,https://www.usu.edu/admissions/,https://www.usu.edu/oda/analysis/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
199,Virginia Commonwealth University,Richmond,VA,Public,https://admissions.vcu.edu/,https://irds.vcu.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
200,West Virginia University,Morgantown,WV,Public,https://admissions.wvu.edu/,https://dataoffice.wvu.edu/reports-analytics/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증","낮음(순위 근사치 - 150~200위대는 정확한 순번 아님, 대략적 포함 여부만 참고)"
